Save 84 - Episode 319/400, Score: 200.0 (0.01), AVG Score: 199.65
Save 85 - Episode 320/400, Score: 200.0 (0.01), AVG Score: 199.65
Save 86 - Episode 322/400, Score: 200.0 (0.01), AVG Score: 199.63
Save 87 - Episode 323/400, Score: 200.0 (0.01), AVG Score: 199.63
Save 88 - Episode 324/400, Score: 200.0 (0.01), AVG Score: 199.63
Save 89 - Episode 325/400, Score: 200.0 (0.01), AVG Score: 199.63
Save 90 - Episode 326/400, Score: 200.0 (0.01), AVG Score: 199.63
Save 91 - Episode 327/400, Score: 200.0 (0.01), AVG Score: 199.63
Save 92 - Episode 328/400, Score: 200.0 (0.01), AVG Score: 199.63
Save 93 - Episode 329/400, Score: 200.0 (0.01), AVG Score: 199.63
Save 94 - Episode 330/400, Score: 200.0 (0.01), AVG Score: 199.63
Save 95 - Episode 336/400, Score: 200.0 (0.01), AVG Score: 198.77
Save 96 - Episode 340/400, Score: 200.0 (0.01), AVG Score: 198.04
Save 97 - Episode 341/400, Score: 200.0 (0.01), AVG Score: 198.04
Save 98 - Episode 342/400, Score: 200.0 (0.01), AVG Score: 198.04
Save 99 - Episode 344/400, Score: 200.0 (0.01), AVG Score: 197.88
Save 100 - Episode 345/400, Score: 200.0 (0.01), AVG Score: 197.88
Save 101 - Episode 346/400, Score: 200.0 (0.01), AVG Score: 197.88
Save 102 - Episode 347/400, Score: 200.0 (0.01), AVG Score: 197.88
Save 103 - Episode 348/400, Score: 200.0 (0.01), AVG Score: 197.88
Save 104 - Episode 353/400, Score: 200.0 (0.01), AVG Score: 196.79
Save 105 - Episode 354/400, Score: 200.0 (0.01), AVG Score: 196.79
Save 106 - Episode 355/400, Score: 200.0 (0.01), AVG Score: 196.79
Save 107 - Episode 357/400, Score: 200.0 (0.01), AVG Score: 196.61
Save 108 - Episode 358/400, Score: 200.0 (0.01), AVG Score: 196.61
Save 109 - Episode 359/400, Score: 200.0 (0.01), AVG Score: 196.61
Save 110 - Episode 363/400, Score: 200.0 (0.01), AVG Score: 195.89
Save 111 - Episode 364/400, Score: 200.0 (0.01), AVG Score: 195.93
